Id,MSSubClass,LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,SalePrice
1,60,11950,6,1992,1217,1775,2,1,3,7,2,308176
2,50,8946,6,2001,789,1442,2,2,3,9,0,316047
3,60,3717,3,1932,1260,1855,2,0,4,9,1,257563
4,20,11486,6,1957,1466,2314,3,1,5,12,3,368115
5,20,11214,5,1958,869,1392,2,0,3,7,3,250249
6,160,10364,6,1947,1080,1392,2,0,3,7,2,251928
7,120,12182,5,1964,1941,2344,3,0,5,12,3,380793
8,60,16853,9,2006,1412,1917,2,1,4,10,1,394648
9,50,9580,6,2005,672,1268,2,0,3,8,1,279215
10,20,6192,7,1976,1339,1799,3,0,4,9,2,362735
11,20,9385,8,1934,1105,1271,2,0,3,9,0,246711
12,20,9884,6,2004,779,1270,2,0,2,7,2,257596
13,120,14926,2,1988,1125,1642,2,0,3,7,3,233178
14,120,10979,3,2004,359,510,1,1,2,5,2,105679
15,60,5333,7,1988,285,609,2,0,2,6,2,178381
16,50,14124,5,1976,969,1219,1,1,3,8,1,210375
17,120,13403,6,1942,666,983,1,0,2,5,1,167829
18,160,10981,5,2007,1250,1679,2,0,3,7,2,302419
19,120,14767,5,1962,566,1038,2,0,1,6,2,174160
20,20,15520,6,1991,462,773,2,0,1,7,2,191919
21,50,8801,9,2008,1728,2284,3,0,5,11,3,450916
22,60,6449,6,1945,910,1396,2,0,3,9,2,261422
23,120,10446,8,1973,1395,1550,2,1,3,7,1,356745
24,20,12914,8,1987,464,767,2,1,1,6,1,219938
25,160,10025,5,1935,900,1229,2,0,3,9,2,222400
26,160,6052,5,1944,1268,1573,3,0,2,9,1,276549
27,60,11232,7,1933,381,910,2,0,2,6,2,180595
28,60,1500,7,1985,881,1712,2,0,2,6,2,310744
29,120,9039,6,1993,564,1199,2,0,2,7,1,190964
30,60,14330,10,1997,1179,1361,2,1,2,7,2,296019
31,20,14574,2,1963,739,1199,2,0,3,9,2,161515
32,20,1500,5,1985,2201,2487,3,0,5,11,2,435428
33,20,9633,6,1961,953,1507,2,0,3,7,0,265481
34,120,13196,6,1938,704,959,1,0,3,7,3,199272
35,120,5207,4,1992,1639,1946,3,1,3,9,2,311633
36,60,8826,5,2001,972,874,2,0,3,9,2,231004
37,120,15934,2,2007,1507,1624,2,0,4,8,0,290586
38,20,8321,6,1962,557,486,1,1,1,6,2,128283
39,50,17693,8,1950,756,817,1,0,2,5,2,219459
40,20,7164,8,1984,1239,1618,1,1,3,6,2,323831
41,50,16844,7,2005,1471,1902,3,0,3,10,2,379222
42,60,10651,6,1986,1023,1604,2,0,3,8,2,318498
43,160,6547,6,1931,870,1454,3,1,3,10,2,273418
44,120,16859,4,1942,948,1356,2,0,2,7,1,217621
45,120,5070,5,1933,485,738,1,0,2,7,2,108644
46,20,6918,5,1979,714,1137,1,0,2,7,1,208101
47,20,12704,7,1977,1016,1273,2,0,3,8,2,302079
48,50,10863,8,2007,1620,2069,2,1,4,9,3,393186
49,120,11732,6,1959,1202,1695,2,1,2,7,1,284534
50,60,8842,7,1958,678,589,1,2,1,6,2,188473
51,20,5102,4,1937,973,1685,2,1,2,7,2,245951
52,120,7564,6,1941,883,1312,1,0,3,7,1,199704
53,160,16441,7,1970,682,1159,2,0,1,6,2,233478
54,50,4483,6,1955,949,1836,2,0,5,9,2,303301
55,20,17900,5,1979,1424,2056,2,0,5,10,2,323014
56,20,11921,7,1931,1380,2003,3,0,4,10,2,376067
57,60,7814,7,1984,1024,1074,2,1,3,8,2,266837
58,20,1500,8,1985,1059,1352,2,0,2,6,2,310782
